Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,cluster,Sales_Level
Foot Locker,1185732,1/6/2021,Midwest,North Dakota,Fargo,Men's Apparel,40.0,150,6000,3000.0,In-store,0,High
Foot Locker,1185732,2/6/2021,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30.0,150,4500,1575.0,In-store,0,High
Foot Locker,1185732,2/6/2021,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150,6000,3000.0,In-store,0,High
Foot Locker,1185732,3/5/2021,Midwest,Iowa,Des Moines,Men's Apparel,30.0,150,4500,2250.0,In-store,0,High
Foot Locker,1185732,5/7/2021,Midwest,Iowa,Des Moines,Men's Apparel,45.0,150,6750,3375.0,In-store,0,High
Foot Locker,1185732,9/7/2021,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25.0,150,3750,1125.0,In-store,0,High
Foot Locker,1185732,9/7/2021,Midwest,Iowa,Des Moines,Men's Apparel,35.0,150,5250,2625.0,In-store,0,High
Foot Locker,1185732,10/6/2021,Midwest,Iowa,Des Moines,Women's Street Footwear,35.0,150,5250,1575.0,In-store,0,High
West Gear,1185732,1/3/2021,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150,6000,3000.0,In-store,0,High
West Gear,1185732,2/3/2021,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30.0,150,4500,1575.0,In-store,0,High
West Gear,1185732,2/3/2021,Midwest,Wisconsin,Milwaukee,Men's Apparel,40.0,150,6000,3000.0,In-store,0,High
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,20.0,150,3000,1050.0,In-store,0,High
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,10.0,150,1500,450.0,In-store,0,High
West Gear,1185732,5/4/2021,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,35.0,150,5250,1575.0,In-store,0,High
West Gear,1185732,9/4/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,150,3750,1125.0,In-store,0,High
West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,30.0,150,4500,1575.0,In-store,0,High
West Gear,1185732,9/11/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,25.0,150,3750,1313.0,In-store,0,High
West Gear,1185732,9/11/2021,Midwest,Indiana,Indianapolis,Men's Apparel,35.0,150,5250,1575.0,In-store,0,High
West Gear,1185732,10/10/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,35.0,150,5250,1838.0,In-store,0,High
West Gear,1185732,10/10/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,35.0,150,5250,1838.0,In-store,0,High
West Gear,1185732,10/10/2021,Midwest,Indiana,Indianapolis,Men's Apparel,45.0,150,6750,2025.0,In-store,0,High
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,30.0,150,4500,1800.0,In-store,0,High
West Gear,1185732,3/20/2021,Northeast,Maryland,Baltimore,Men's Athletic Footwear,35.0,150,5250,1838.0,In-store,0,High
West Gear,1185732,5/20/2021,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,150,6000,2100.0,In-store,0,High
Foot Locker,1185732,6/22/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,6000,2100.0,In-store,0,High
Foot Locker,1185732,6/22/2021,Northeast,Maryland,Baltimore,Men's Apparel,50.0,150,7500,2250.0,In-store,0,High
Sports Direct,1185732,7/20/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,6000,2100.0,In-store,0,High
Sports Direct,1185732,8/21/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,6000,2100.0,In-store,0,High
Foot Locker,1185732,11/21/2021,Northeast,Maryland,Baltimore,Women's Athletic Footwear,50.0,150,7500,2625.0,In-store,0,High
Foot Locker,1185732,2/15/2021,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150,5250,2100.0,In-store,0,High
Foot Locker,1185732,4/14/2021,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150,5250,2100.0,In-store,0,High
Foot Locker,1185732,4/14/2021,Northeast,Delaware,Wilmington,Men's Apparel,50.0,150,7500,2250.0,In-store,0,High
Kohl's,1185732,9/6/2021,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,150,6000,2400.0,In-store,0,High
Kohl's,1185732,9/6/2021,Northeast,New Jersey,Newark,Men's Apparel,50.0,150,7500,2250.0,In-store,0,High
Kohl's,1185732,10/8/2021,Northeast,New Jersey,Newark,Women's Street Footwear,50.0,150,7500,3000.0,In-store,0,High
Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Athletic Footwear,35.0,150,5250,1575.0,In-store,0,High
Sports Direct,1185732,3/3/2021,Northeast,Connecticut,Hartford,Men's Apparel,50.0,150,7500,2250.0,In-store,0,High
Sports Direct,1185732,10/5/2021,Northeast,Connecticut,Hartford,Women's Athletic Footwear,55.0,150,8250,2475.0,In-store,0,High
Foot Locker,1185732,3/6/2021,Northeast,Rhode Island,Providence,Men's Athletic Footwear,35.0,150,5250,1838.0,In-store,0,High
Foot Locker,1185732,5/6/2021,Northeast,Rhode Island,Providence,Women's Athletic Footwear,40.0,150,6000,2400.0,In-store,0,High
Foot Locker,1185732,8/7/2021,Northeast,Rhode Island,Providence,Women's Athletic Footwear,40.0,150,6000,2400.0,In-store,0,High
Sports Direct,1185732,1/17/2021,Northeast,Rhode Island,Providence,Men's Apparel,50.0,150,7500,1875.0,In-store,0,High
Sports Direct,1185732,2/15/2021,Northeast,Rhode Island,Providence,Men's Athletic Footwear,40.0,150,6000,1800.0,In-store,0,High
Sports Direct,1185732,2/15/2021,Northeast,Massachusetts,Boston,Men's Apparel,50.0,150,7500,1875.0,In-store,0,High
Sports Direct,1185732,4/14/2021,Northeast,Massachusetts,Boston,Men's Athletic Footwear,40.0,150,6000,1800.0,In-store,0,High
Sports Direct,1185732,4/14/2021,Northeast,Massachusetts,Boston,Women's Street Footwear,30.0,150,4500,1125.0,In-store,0,High
Sports Direct,1185732,8/14/2021,Northeast,Massachusetts,Boston,Men's Apparel,55.0,150,8250,2063.0,In-store,0,High
Sports Direct,1185732,9/13/2021,Northeast,Massachusetts,Boston,Women's Street Footwear,45.0,150,6750,1688.0,In-store,0,High
Amazon,1185732,2/12/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,40.0,150,6000,2100.0,In-store,0,High
Amazon,1185732,4/11/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,40.0,150,6000,2100.0,In-store,0,High
Amazon,1185732,4/11/2021,Northeast,Vermont,Burlington,Men's Apparel,55.0,150,8250,2888.0,In-store,0,High
Amazon,1185732,3/17/2021,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,45.0,150,6750,2025.0,In-store,0,High
Foot Locker,1185732,1/24/2021,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,50.0,150,7500,1875.0,Outlet,0,High
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,42.0,150,630,258.0,Online,0,High
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,47.0,150,705,296.0,Online,0,High
Foot Locker,1185732,8/5/2021,Midwest,Illinois,Chicago,Men's Street Footwear,57.0,150,855,470.0,Online,0,High
Sports Direct,1197831,9/19/2021,South,Texas,Dallas,Women's Athletic Footwear,43.0,150,645,393.0,Online,0,High
West Gear,1128299,3/4/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,64.0,150,960,326.0,Online,0,High
West Gear,1128299,3/14/2020,West,Nevada,Las Vegas,Women's Apparel,74.0,150,1110,300.0,Online,1,Low
West Gear,1128299,4/16/2020,West,Colorado,Denver,Women's Street Footwear,64.0,150,960,614.0,Online,0,High
West Gear,1128299,5/14/2020,West,Colorado,Denver,Men's Street Footwear,52.0,150,780,429.0,Online,0,High
West Gear,1128299,5/15/2020,West,Colorado,Denver,Men's Athletic Footwear,55.0,150,825,305.0,Online,0,High
West Gear,1128299,8/5/2020,West,Washington,Seattle,Women's Apparel,86.0,150,1290,439.0,Online,1,Low
Kohl's,1189833,1/21/2021,Midwest,Montana,Billings,Men's Street Footwear,39.0,150,585,333.0,Online,0,High
Kohl's,1189833,2/1/2021,Midwest,Montana,Billings,Women's Apparel,55.0,150,825,297.0,Online,0,High
Sports Direct,1197831,5/4/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,32.0,150,480,288.0,Online,0,High
Sports Direct,1197831,9/23/2021,South,Alabama,Birmingham,Women's Apparel,37.0,150,555,427.0,Online,0,High
Foot Locker,1128299,7/9/2021,West,Hawaii,Honolulu,Women's Street Footwear,79.0,150,1185,427.0,Online,1,Low
Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,64.0,150,960,413.0,Online,0,High
West Gear,1185732,6/10/2021,Northeast,New York,Albany,Women's Street Footwear,48.0,150,720,274.0,Online,0,High
West Gear,1185732,6/10/2021,Northeast,New York,Albany,Men's Apparel,62.0,150,930,456.0,Online,0,High
West Gear,1185732,7/8/2021,Northeast,New York,Albany,Women's Athletic Footwear,53.0,150,795,342.0,Online,0,High
West Gear,1185732,8/9/2021,Northeast,New York,Albany,Women's Athletic Footwear,41.0,150,615,246.0,Online,0,High
West Gear,1185732,10/10/2021,Northeast,New York,Albany,Men's Apparel,59.0,150,885,416.0,Online,0,High
Kohl's,1185732,7/10/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,39.0,150,585,275.0,Online,0,High
Kohl's,1185732,9/10/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,44.0,150,660,284.0,Online,0,High
Kohl's,1185732,10/12/2021,West,Wyoming,Cheyenne,Women's Apparel,55.0,150,825,305.0,Online,0,High
Sports Direct,1128299,12/23/2021,Southeast,Virginia,Richmond,Women's Apparel,82.0,150,1230,529.0,Online,1,Low
Sports Direct,1185732,2/17/2021,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,150,345,148.0,Online,0,High
Sports Direct,1185732,5/15/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,47.0,150,705,388.0,Online,0,High
Sports Direct,1185732,5/15/2021,Midwest,Michigan,Detroit,Women's Apparel,55.0,150,825,578.0,Online,0,High
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,34.0,150,510,260.0,Online,0,High
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Apparel,38.0,150,570,342.0,Online,0,High
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Women's Apparel,38.0,150,570,371.0,Online,0,High
West Gear,1128299,7/23/2021,West,Oregon,Portland,Women's Apparel,97.0,150,1455,611.0,Online,1,Low
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Women's Street Footwear,58.0,150,870,470.0,Online,0,High
Kohl's,1128299,5/27/2021,West,New Mexico,Albuquerque,Men's Street Footwear,51.0,150,765,344.0,Online,0,High
Kohl's,1128299,11/26/2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,59.0,150,885,478.0,Online,0,High
Sports Direct,1128299,6/13/2021,Southeast,Georgia,Atlanta,Women's Apparel,67.0,150,1005,352.0,Online,0,High
Sports Direct,1128299,8/13/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,54.0,150,810,373.0,Online,0,High
Sports Direct,1185732,3/2/2021,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,29.0,150,435,196.0,Online,0,High
Sports Direct,1185732,5/2/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,38.0,150,570,308.0,Online,0,High
Sports Direct,1185732,5/2/2021,Southeast,North Carolina,Charlotte,Men's Apparel,46.0,150,690,338.0,Online,0,High
Sports Direct,1185732,9/2/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,28.0,150,420,210.0,Online,0,High
Sports Direct,1185732,10/4/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,34.0,150,510,260.0,Online,0,High
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33.0,150,495,248.0,Online,0,High
Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Men's Apparel,62.0,150,930,437.0,Online,0,High
Amazon,1185732,8/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,53.0,150,795,405.0,Online,0,High
Walmart,1185732,7/16/2021,South,Mississippi,Jackson,Men's Apparel,59.0,150,885,425.0,Online,0,High
Walmart,1197831,7/19/2021,South,Arkansas,Little Rock,Women's Apparel,63.0,150,945,510.0,Online,0,High
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Street Footwear,27.0,150,405,203.0,Online,0,High
West Gear,1197831,12/19/2021,South,Arkansas,Little Rock,Women's Apparel,70.0,150,1050,536.0,Online,0,High
West Gear,1197831,9/19/2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,49.0,150,735,397.0,Online,0,High
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Men's Street Footwear,24.0,150,360,162.0,Online,0,High
Foot Locker,1197831,12/12/2021,Midwest,Kansas,Wichita,Men's Street Footwear,66.0,150,990,495.0,Online,0,High
Foot Locker,1185732,12/8/2021,Midwest,North Dakota,Fargo,Men's Street Footwear,55.0,150,825,380.0,Online,0,High
West Gear,1185732,12/9/2021,Midwest,Indiana,Indianapolis,Men's Street Footwear,58.0,150,870,444.0,Online,0,High
West Gear,1185732,6/17/2021,Northeast,West Virginia,Charleston,Men's Street Footwear,43.0,150,645,335.0,Online,0,High
Sports Direct,1185732,4/4/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,36.0,150,540,270.0,Online,0,High
Foot Locker,1185732,12/3/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,59.0,150,885,451.0,Online,0,High
Sports Direct,1185732,7/13/2021,Northeast,Massachusetts,Boston,Men's Street Footwear,52.0,150,780,328.0,Online,0,High
Amazon,1185732,12/13/2021,Northeast,Massachusetts,Boston,Men's Street Footwear,64.0,150,960,394.0,Online,0,High
Sports Direct,1197831,9/14/2021,South,Texas,Dallas,Men's Apparel,40.0,150,600,222.0,Outlet,0,High
Foot Locker,1185732,11/15/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,44.0,150,660,343.0,Outlet,0,High
West Gear,1128299,2/11/2020,West,Nevada,Las Vegas,Men's Apparel,47.0,150,705,416.0,Outlet,0,High
Sports Direct,1197831,4/13/2021,South,Tennessee,Knoxville,Men's Apparel,30.0,150,450,176.0,Outlet,0,High
Walmart,1128299,9/18/2021,Southeast,Florida,Orlando,Men's Athletic Footwear,45.0,150,675,209.0,Outlet,0,High
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Men's Street Footwear,31.0,150,465,177.0,Outlet,0,High
Sports Direct,1128299,12/25/2021,West,New Mexico,Albuquerque,Women's Street Footwear,44.0,150,660,271.0,Outlet,0,High
Sports Direct,1128299,2/13/2021,West,New Mexico,Albuquerque,Men's Street Footwear,23.0,150,345,148.0,Outlet,0,High
Sports Direct,1128299,8/13/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,42.0,150,630,265.0,Outlet,0,High
Foot Locker,1185732,5/16/2021,South,Mississippi,Jackson,Women's Apparel,35.0,150,525,294.0,Outlet,0,High
Foot Locker,1185732,6/18/2021,South,Mississippi,Jackson,Men's Athletic Footwear,29.0,150,435,170.0,Outlet,0,High
Walmart,1185732,7/16/2021,South,Mississippi,Jackson,Men's Apparel,46.0,150,690,255.0,Outlet,0,High
Foot Locker,1185732,5/6/2021,Northeast,Rhode Island,Providence,Men's Street Footwear,39.0,150,585,240.0,Outlet,0,High
Foot Locker,1185732,7/12/2021,Midwest,Illinois,Chicago,Men's Street Footwear,49.0,149,730,372.0,Online,0,High
West Gear,1128299,1/26/2020,West,Nevada,Las Vegas,Men's Street Footwear,58.0,149,864,501.0,Online,0,High
West Gear,1128299,7/19/2020,West,Washington,Seattle,Men's Street Footwear,58.0,149,864,346.0,Online,0,High
Sports Direct,1197831,5/18/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,54.0,149,805,555.0,Online,0,High
Sports Direct,1197831,8/24/2021,South,Alabama,Birmingham,Women's Apparel,20.0,149,298,224.0,Online,0,High
Foot Locker,1128299,7/9/2021,West,Hawaii,Honolulu,Men's Apparel,80.0,149,1192,358.0,Online,1,Low
Walmart,1128299,9/11/2021,West,Hawaii,Honolulu,Men's Street Footwear,62.0,149,924,333.0,Online,0,High
Walmart,1128299,9/11/2021,West,Hawaii,Honolulu,Men's Athletic Footwear,69.0,149,1028,339.0,Online,0,High
West Gear,1185732,8/9/2021,Northeast,New York,Albany,Men's Apparel,52.0,149,775,372.0,Online,0,High
Kohl's,1185732,3/10/2021,West,Wyoming,Cheyenne,Women's Street Footwear,27.0,149,402,181.0,Online,0,High
Kohl's,1185732,4/11/2021,West,Wyoming,Cheyenne,Women's Apparel,36.0,149,536,188.0,Online,0,High
Kohl's,1185732,7/10/2021,West,Wyoming,Cheyenne,Women's Street Footwear,38.0,149,566,272.0,Online,0,High
Foot Locker,1128299,7/23/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,82.0,149,1222,562.0,Online,1,Low
Foot Locker,1128299,11/24/2021,Southeast,Virginia,Richmond,Women's Apparel,74.0,149,1103,441.0,Online,1,Low
Sports Direct,1185732,1/19/2021,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,149,343,137.0,Online,0,High
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,29.0,149,432,216.0,Online,0,High
West Gear,1128299,11/24/2021,West,Oregon,Portland,Women's Apparel,76.0,149,1132,476.0,Online,1,Low
Kohl's,1128299,6/26/2021,West,New Mexico,Albuquerque,Women's Street Footwear,54.0,149,805,402.0,Online,0,High
Kohl's,1128299,10/26/2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,50.0,149,745,395.0,Online,0,High
Sports Direct,1185732,10/4/2021,Southeast,North Carolina,Charlotte,Men's Apparel,42.0,149,626,294.0,Online,0,High
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,23.0,149,343,168.0,Online,0,High
West Gear,1185732,7/2/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,45.0,149,671,282.0,Online,0,High
West Gear,1185732,7/9/2021,Midwest,Indiana,Indianapolis,Men's Street Footwear,51.0,149,760,403.0,Online,0,High
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Men's Street Footwear,33.0,149,492,266.0,Online,0,High
Sports Direct,1185732,12/6/2021,Northeast,New Jersey,Newark,Men's Street Footwear,55.0,149,820,393.0,Online,0,High
Sports Direct,1185732,2/5/2021,Northeast,New Jersey,Newark,Men's Street Footwear,39.0,149,581,291.0,Online,0,High
Kohl's,1189833,4/11/2021,West,California,Los Angeles,Men's Apparel,38.0,149,566,345.0,Outlet,0,High
Sports Direct,1197831,9/1/2021,South,Texas,Dallas,Women's Athletic Footwear,20.0,149,298,146.0,Outlet,0,High
Sports Direct,1197831,10/2/2021,South,Texas,Dallas,Men's Apparel,37.0,149,551,221.0,Outlet,0,High
West Gear,1128299,3/15/2020,West,Nevada,Las Vegas,Men's Street Footwear,20.0,149,298,119.0,Outlet,0,High
Sports Direct,1197831,10/4/2021,South,Alabama,Birmingham,Men's Apparel,37.0,149,551,265.0,Outlet,0,High
Sports Direct,1128299,3/16/2021,Southeast,Florida,Orlando,Women's Street Footwear,47.0,149,700,224.0,Outlet,0,High
Foot Locker,1128299,9/25/2021,Southeast,Virginia,Richmond,Men's Street Footwear,35.0,149,522,219.0,Outlet,0,High
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Apparel,18.0,149,268,148.0,Outlet,0,High
West Gear,1128299,9/25/2021,West,Oregon,Portland,Men's Street Footwear,34.0,149,507,187.0,Outlet,0,High
West Gear,1128299,11/24/2021,West,Oregon,Portland,Women's Athletic Footwear,39.0,149,581,238.0,Outlet,0,High
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Men's Apparel,41.0,149,611,232.0,Outlet,0,High
Kohl's,1128299,7/25/2021,West,New Mexico,Albuquerque,Women's Athletic Footwear,39.0,149,581,244.0,Outlet,0,High
Kohl's,1128299,11/26/2021,West,New Mexico,Albuquerque,Women's Street Footwear,46.0,149,685,254.0,Outlet,0,High
Sports Direct,1128299,1/13/2021,West,New Mexico,Albuquerque,Men's Street Footwear,24.0,149,358,164.0,Outlet,0,High
Sports Direct,1128299,8/13/2021,Southeast,Georgia,Atlanta,Women's Athletic Footwear,42.0,149,626,282.0,Outlet,0,High
Foot Locker,1185732,6/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,34.0,149,507,218.0,Outlet,0,High
Walmart,1197831,6/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25.0,149,373,145.0,Outlet,0,High
Walmart,1197831,7/19/2021,South,Arkansas,Little Rock,Men's Apparel,40.0,149,596,238.0,Outlet,0,High
West Gear,1197831,12/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,43.0,149,641,282.0,Outlet,0,High
Kohl's,1197831,12/19/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,47.0,149,700,266.0,Outlet,0,High
Foot Locker,1185732,11/4/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,51.0,149,760,327.0,Outlet,0,High
Foot Locker,1185732,1/10/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,23.0,149,343,144.0,Outlet,0,High
Sports Direct,1185732,4/14/2021,Northeast,Massachusetts,Boston,Men's Street Footwear,28.0,149,417,138.0,Outlet,0,High
Amazon,1185732,8/11/2021,Northeast,Vermont,Burlington,Men's Athletic Footwear,43.0,149,641,333.0,Outlet,0,High
Amazon,1185732,7/17/2021,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,47.0,149,700,308.0,Outlet,0,High
Foot Locker,1185732,11/18/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,59.0,149,879,378.0,Outlet,0,High
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,42.0,147,617,259.0,Online,0,High
Sports Direct,1197831,8/16/2021,South,Texas,Dallas,Women's Apparel,33.0,147,485,267.0,Online,0,High
Sports Direct,1197831,9/25/2021,South,Texas,Dallas,Women's Athletic Footwear,47.0,147,691,449.0,Online,0,High
Kohl's,1189833,1/28/2021,Midwest,Montana,Billings,Men's Athletic Footwear,42.0,147,617,253.0,Online,0,High
Sports Direct,1197831,5/5/2021,South,Tennessee,Knoxville,Women's Street Footwear,36.0,147,529,307.0,Online,0,High
Amazon,1185732,12/21/2021,Northeast,Maine,Portland,Men's Street Footwear,50.0,147,735,338.0,Online,0,High
Walmart,1128299,8/10/2021,West,Hawaii,Honolulu,Men's Apparel,69.0,147,1014,274.0,Online,0,High
Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Women's Street Footwear,53.0,147,779,319.0,Online,0,High
West Gear,1128299,12/16/2021,Southeast,Florida,Orlando,Men's Apparel,86.0,147,1264,442.0,Online,1,Low
West Gear,1185732,4/9/2021,Northeast,New York,Albany,Men's Athletic Footwear,43.0,147,632,284.0,Online,0,High
West Gear,1185732,11/9/2021,Northeast,New York,Albany,Women's Street Footwear,45.0,147,662,238.0,Online,0,High
Kohl's,1185732,8/11/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,38.0,147,559,274.0,Online,0,High
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,44.0,147,647,330.0,Online,0,High
Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Men's Street Footwear,47.0,147,691,325.0,Online,0,High
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,46.0,147,676,352.0,Online,0,High
Kohl's,1128299,2/26/2021,West,Arizona,Phoenix,Men's Street Footwear,33.0,147,485,238.0,Online,0,High
Sports Direct,1128299,6/13/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,54.0,147,794,405.0,Online,0,High
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Women's Apparel,38.0,147,559,352.0,Online,0,High
West Gear,1185732,12/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,63.0,147,926,463.0,Online,0,High
Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Women's Street Footwear,48.0,147,706,367.0,Online,0,High
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Men's Athletic Footwear,42.0,147,617,278.0,Online,0,High
Walmart,1197831,7/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,47.0,147,691,311.0,Online,0,High
Sports Direct,1185732,8/9/2021,Midwest,North Dakota,Fargo,Men's Street Footwear,46.0,147,676,331.0,Online,0,High
West Gear,1185732,12/5/2021,Midwest,Iowa,Des Moines,Men's Street Footwear,54.0,147,794,333.0,Online,0,High
Kohl's,1185732,2/8/2021,Northeast,Delaware,Wilmington,Men's Street Footwear,34.0,147,500,240.0,Online,0,High
Foot Locker,1185732,5/31/2021,West,California,Los Angeles,Men's Street Footwear,36.0,147,529,238.0,Outlet,0,High
Sports Direct,1197831,9/29/2021,South,Alabama,Birmingham,Women's Apparel,26.0,147,382,275.0,Outlet,0,High
Walmart,1128299,8/17/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,64.0,147,941,310.0,Outlet,0,High
Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Men's Apparel,58.0,147,853,230.0,Outlet,0,High
Foot Locker,1128299,4/24/2021,Southeast,Virginia,Richmond,Men's Street Footwear,38.0,147,559,207.0,Outlet,0,High
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Apparel,53.0,147,779,366.0,Outlet,0,High
West Gear,1197831,1/5/2021,South,Louisiana,New Orleans,Women's Apparel,23.0,147,338,169.0,Outlet,0,High
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Men's Apparel,43.0,147,632,259.0,Outlet,0,High
Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Women's Street Footwear,41.0,147,603,229.0,Outlet,0,High
Kohl's,1128299,1/26/2021,West,Arizona,Phoenix,Men's Athletic Footwear,30.0,147,441,207.0,Outlet,0,High
Kohl's,1128299,9/27/2021,West,New Mexico,Albuquerque,Women's Street Footwear,39.0,147,573,241.0,Outlet,0,High
Foot Locker,1128299,12/12/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,36.0,147,529,222.0,Outlet,0,High
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Apparel,22.0,147,323,171.0,Outlet,0,High
Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,32.0,147,470,198.0,Outlet,0,High
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Women's Street Footwear,42.0,146,613,307.0,Online,0,High
Foot Locker,1185732,5/7/2021,Midwest,Iowa,Des Moines,Men's Street Footwear,57.0,146,832,350.0,Online,0,High
Foot Locker,1185732,12/18/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40.0,145,5800,1740.0,Outlet,0,High
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,62.0,145,899,566.0,Online,0,High
Kohl's,1189833,3/11/2021,West,California,Los Angeles,Men's Apparel,49.0,145,711,469.0,Online,0,High
Sports Direct,1197831,8/25/2021,South,Texas,Dallas,Women's Street Footwear,28.0,145,406,191.0,Online,0,High
Sports Direct,1197831,9/14/2021,South,Texas,Dallas,Men's Apparel,45.0,145,653,281.0,Online,0,High
Sports Direct,1197831,10/13/2021,South,Texas,Dallas,Women's Athletic Footwear,59.0,145,856,530.0,Online,0,High
